algoritmo,capacidade_memoria,threads,cores,threads_usados,qtd_sequencias,total_sequencias,size_arquivos,media_tamanho_sequencias,formato_arvore,tempo_execucao
clustalw,134743617536,24,16,3,42,1596,1549723,829.5219047619047,newick,98.5405505689996
clustalw,134743617536,24,16,7,14,532,485124,768.3121428571429,newick,19.487328276998596
clustalw,134743617536,24,16,24,26,988,964689,834.7673076923077,newick,20.760707559995353
clustalw,134743617536,24,16,24,47,1786,1718458,818.8410638297872,newick,36.078011578996666
clustalw,134743617536,24,16,24,45,1710,1680907,840.9382222222223,nexus,37.83399111998733
clustalw,134743617536,24,16,23,100,3800,3525695,786.4556,newick,78.51371153997025
clustalw,134743617536,24,16,22,11,418,400407,816.2490909090909,newick,12.17533001198899
clustalw,134743617536,24,16,21,37,1406,1307334,787.3740540540541,nexus,28.640283769986127
clustalw,134743617536,24,16,23,49,1862,1781307,815.4285714285714,nexus,38.89552380103851
clustalw,134743617536,24,16,20,36,1368,1262746,781.6194444444444,newick,35.12933443696238
clustalw,134743617536,24,16,9,31,1178,1125530,812.3870967741935,newick,56.245933839993086
clustalw,134743617536,24,16,8,25,950,909266,816.4436000000001,newick,30.493471586029045
clustalw,134743617536,24,16,2,100,3800,3624508,811.4003,newick,278.86718731198926
clustalw,134743617536,24,16,16,31,1178,1140134,825.1819354838709,nexus,25.704024331003893
clustalw,134743617536,24,16,24,31,1178,1140134,825.1819354838709,nexus,23.94630796095589
clustalw,134743617536,24,16,24,57,2166,2073905,815.418947368421,newick,50.93679822899867
clustalw,134743617536,24,16,24,56,2128,1975633,787.3821428571429,nexus,48.54033261095174
clustalw,134743617536,24,16,24,100,3800,3488781,776.5872,newick,79.12989543698495
clustalw,134743617536,24,16,23,86,3268,3064779,796.6923255813953,newick,62.902234116976615
clustalw,134743617536,24,16,23,58,2204,2061951,793.6987931034482,newick,41.8002892479999
clustalw,134743617536,24,16,23,78,2964,2863088,823.7065384615385,nexus,58.68247539398726
clustalw,134743617536,24,16,22,96,3648,3411955,792.8827083333334,newick,77.47746618499514
clustalw,134743617536,24,16,22,100,3800,3637980,815.1405,nexus,81.82304915098939
clustalw,134743617536,24,16,22,4,152,138405,773.3625,newick,12.542007612995803
clustalw,134743617536,24,16,19,61,2318,2242980,825.0786885245902,nexus,56.06743411900243
clustalw,134743617536,24,16,2,100,3800,3641114,815.9525,newick,372.86331929196604
clustalw,134743617536,24,16,19,81,3078,2865455,787.386913580247,newick,68.91507290699519
clustalw,134743617536,24,16,19,21,798,792731,851.5461904761905,nexus,24.38465213199379
clustalw,134743617536,24,16,2,5,190,178565,800.4219999999999,newick,37.628983384987805
clustalw,134743617536,24,16,18,58,2204,2097878,809.6662068965517,newick,58.91915925801732
